Year,Units,Series,Value
2024,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen,77.0
2023,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen,
2025,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen,
01.03.2023 - 30.08.2023,Anzahl,"Produktionen audiovisueller Medien, bei denen ökologische Standards eingehalten wurden",82.0
01.09.2023 - 30.08.2024,Anzahl,"Produktionen audiovisueller Medien, bei denen ökologische Standards eingehalten wurden",234.0
