Value,Disaggregation combinations using this value,Number of indicators
a) sub-index forests,1,1
b) sub-index settlements,1,1
c) sub-index farmland,1,1
d) sub-index inland waters,1,1
e) sub-index coasts/seas,1,1
f) index overall,2,1
