Year,Units,Value
2014,Prozent,15.891
2015,Prozent,15.386
2016,Prozent,15.051
2017,Prozent,14.627
2018,Prozent,14.307
2019,Prozent,14.205
2020,Prozent,14.39
2021,Prozent,13.507
2022,Prozent,12.727
2023,Prozent,11.836
2030,Prozent,
