Year,Units,Time series,Area,COMMENT_OBS_0,Sex,COMMENT_OBS_1,Age group,Länder,GeoCode,Value
2018,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.7
2019,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.2
2020,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,6.3
2021,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.9
2022,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.9
2023,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.9
2024,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.7
2025,Percentage,b) Severe material and social deprivation,European Union,,,,16 to 24 years,,,5.7
2014,Percentage,b) Severe material and social deprivation,European Union,.,,,25 to 49 years,,,
2015,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,9.1
2016,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,8.4
2017,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,7.1
2018,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.3
2019,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.1
2020,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.4
2021,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,5.9
2022,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.5
2023,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.7
2024,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.1
2025,Percentage,b) Severe material and social deprivation,European Union,,,,25 to 49 years,,,6.1
2014,Percentage,b) Severe material and social deprivation,European Union,.,,,50 to 64 years,,,
2015,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,10.4
2016,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,9.3
2017,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,8.1
2018,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.5
2019,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.5
2020,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.2
2021,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,6.8
2022,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.0
2023,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.3
2024,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,7.0
2025,Percentage,b) Severe material and social deprivation,European Union,,,,50 to 64 years,,,6.8
2014,Percentage,b) Severe material and social deprivation,European Union,.,,,65 years and older,,,
2015,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,6.6
2016,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,6.5
2017,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,6.1
2018,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.9
2019,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,6.5
2020,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.5
2021,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.3
2022,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.4
2023,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.5
2024,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,5.1
2025,Percentage,b) Severe material and social deprivation,European Union,,,,65 years and older,,,4.9
