Year,Units,Series,COMMENT_OBS_0,Länder,GeoCode,Value
2020,2008 = 100,b) Primary energy consumption,r,Mecklenburg Western Pomerania,code13,85.337
2021,2008 = 100,b) Primary energy consumption,,Mecklenburg Western Pomerania,code13,90.234
2022,2008 = 100,b) Primary energy consumption,,Mecklenburg Western Pomerania,code13,87.381
2023,2008 = 100,b) Primary energy consumption,…,Mecklenburg Western Pomerania,code13,
2024,2008 = 100,b) Primary energy consumption,…,Mecklenburg Western Pomerania,code13,
2025,2008 = 100,b) Primary energy consumption,…,Mecklenburg Western Pomerania,code13,
2030,2008 = 100,b) Primary energy consumption,…,Mecklenburg Western Pomerania,code13,
2008,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,100.0
2009,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,97.643
2010,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,100.68
2011,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,91.887
2012,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,90.817
2013,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,91.163
2014,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,90.386
2015,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,89.769
2016,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,89.541
2017,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,90.113
2018,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,91.145
2019,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,88.895
2020,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,85.99
2021,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,88.226
2022,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,80.033
2023,2008 = 100,b) Primary energy consumption,,Lower Saxony,code03,69.925
2024,2008 = 100,b) Primary energy consumption,p,Lower Saxony,code03,69.334
2025,2008 = 100,b) Primary energy consumption,…,Lower Saxony,code03,
2030,2008 = 100,b) Primary energy consumption,…,Lower Saxony,code03,
2008,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,100.0
2009,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,100.704
2010,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,105.724
2011,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,101.909
2012,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,100.616
2013,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,100.5
2014,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,102.51
2015,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,101.619
2016,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,96.716
2017,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,94.961
2018,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,89.343
2019,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,86.35
2020,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,80.755
2021,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,84.715
2022,2008 = 100,b) Primary energy consumption,r,North Rhine-Westphalia,code05,74.425
2023,2008 = 100,b) Primary energy consumption,,North Rhine-Westphalia,code05,66.783
2024,2008 = 100,b) Primary energy consumption,…,North Rhine-Westphalia,code05,
2025,2008 = 100,b) Primary energy consumption,…,North Rhine-Westphalia,code05,
2030,2008 = 100,b) Primary energy consumption,…,North Rhine-Westphalia,code05,
2008,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,100.0
2009,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,92.731
2010,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,100.233
2011,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,94.419
2012,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,94.407
2013,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,97.913
2014,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,92.571
2015,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,95.058
2016,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,96.228
2017,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,98.291
2018,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,95.325
2019,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,95.737
2020,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,94.821
2021,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,96.931
2022,2008 = 100,b) Primary energy consumption,r,Rhineland Palatinate,code07,88.955
2023,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,81.285
2024,2008 = 100,b) Primary energy consumption,,Rhineland Palatinate,code07,83.95
2025,2008 = 100,b) Primary energy consumption,…,Rhineland Palatinate,code07,
2030,2008 = 100,b) Primary energy consumption,…,Rhineland Palatinate,code07,
2008,2008 = 100,b) Primary energy consumption,,Saarland,code10,100.0
2009,2008 = 100,b) Primary energy consumption,,Saarland,code10,82.887
2010,2008 = 100,b) Primary energy consumption,,Saarland,code10,87.405
2011,2008 = 100,b) Primary energy consumption,,Saarland,code10,91.686
2012,2008 = 100,b) Primary energy consumption,,Saarland,code10,94.808
2013,2008 = 100,b) Primary energy consumption,,Saarland,code10,99.296
2014,2008 = 100,b) Primary energy consumption,,Saarland,code10,90.754
2015,2008 = 100,b) Primary energy consumption,,Saarland,code10,87.673
2016,2008 = 100,b) Primary energy consumption,,Saarland,code10,75.333
2017,2008 = 100,b) Primary energy consumption,.,Saarland,code10,
2018,2008 = 100,b) Primary energy consumption,.,Saarland,code10,
2019,2008 = 100,b) Primary energy consumption,,Saarland,code10,66.313
2020,2008 = 100,b) Primary energy consumption,,Saarland,code10,61.963
2021,2008 = 100,b) Primary energy consumption,,Saarland,code10,70.112
2022,2008 = 100,b) Primary energy consumption,,Saarland,code10,66.506
2023,2008 = 100,b) Primary energy consumption,,Saarland,code10,61.69
2024,2008 = 100,b) Primary energy consumption,…,Saarland,code10,
2025,2008 = 100,b) Primary energy consumption,…,Saarland,code10,
2030,2008 = 100,b) Primary energy consumption,…,Saarland,code10,
2008,2008 = 100,b) Primary energy consumption,,Saxony,code14,100.0
2009,2008 = 100,b) Primary energy consumption,,Saxony,code14,99.49
2010,2008 = 100,b) Primary energy consumption,,Saxony,code14,100.91
2011,2008 = 100,b) Primary energy consumption,,Saxony,code14,96.639
2012,2008 = 100,b) Primary energy consumption,,Saxony,code14,98.588
2013,2008 = 100,b) Primary energy consumption,,Saxony,code14,101.703
2014,2008 = 100,b) Primary energy consumption,,Saxony,code14,99.777
2015,2008 = 100,b) Primary energy consumption,,Saxony,code14,98.133
2016,2008 = 100,b) Primary energy consumption,,Saxony,code14,100.672
2017,2008 = 100,b) Primary energy consumption,,Saxony,code14,104.139
2018,2008 = 100,b) Primary energy consumption,,Saxony,code14,102.596
2019,2008 = 100,b) Primary energy consumption,,Saxony,code14,95.335
2020,2008 = 100,b) Primary energy consumption,,Saxony,code14,95.226
2021,2008 = 100,b) Primary energy consumption,r,Saxony,code14,102.78
2022,2008 = 100,b) Primary energy consumption,,Saxony,code14,102.78
2023,2008 = 100,b) Primary energy consumption,,Saxony,code14,89.315
2024,2008 = 100,b) Primary energy consumption,p,Saxony,code14,86.256
2025,2008 = 100,b) Primary energy consumption,…,Saxony,code14,
2030,2008 = 100,b) Primary energy consumption,…,Saxony,code14,
2008,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,100.0
2009,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,98.851
2010,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,103.631
2011,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,102.352
2012,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,102.569
2013,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,102.048
2014,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,96.845
2015,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,99.618
2016,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,102.622
2017,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,99.202
2018,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,107.659
2019,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,102.093
2020,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,98.19
2021,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,97.834
2022,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,95.392
2023,2008 = 100,b) Primary energy consumption,,Saxony-Anhalt,code15,83.094
2024,2008 = 100,b) Primary energy consumption,…,Saxony-Anhalt,code15,
2025,2008 = 100,b) Primary energy consumption,…,Saxony-Anhalt,code15,
2030,2008 = 100,b) Primary energy consumption,…,Saxony-Anhalt,code15,
2008,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,100.0
2009,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,97.202
2010,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,102.207
2011,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,96.777
2012,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,100.747
2013,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,104.502
2014,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,99.912
2015,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,97.266
2016,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,99.076
2017,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,89.056
2018,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,97.759
2019,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,93.429
2020,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,95.03
2021,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,97.561
2022,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,73.502
2023,2008 = 100,b) Primary energy consumption,,Schleswig-Holstein,code01,70.479
2024,2008 = 100,b) Primary energy consumption,p,Schleswig-Holstein,code01,68.51
2025,2008 = 100,b) Primary energy consumption,…,Schleswig-Holstein,code01,
2030,2008 = 100,b) Primary energy consumption,…,Schleswig-Holstein,code01,
2008,2008 = 100,b) Primary energy consumption,,Thuringia,code16,100.0
2009,2008 = 100,b) Primary energy consumption,,Thuringia,code16,96.12
2010,2008 = 100,b) Primary energy consumption,,Thuringia,code16,100.038
2011,2008 = 100,b) Primary energy consumption,,Thuringia,code16,95.191
2012,2008 = 100,b) Primary energy consumption,,Thuringia,code16,96.752
2013,2008 = 100,b) Primary energy consumption,,Thuringia,code16,98.68
2014,2008 = 100,b) Primary energy consumption,,Thuringia,code16,92.918
2015,2008 = 100,b) Primary energy consumption,,Thuringia,code16,93.123
2016,2008 = 100,b) Primary energy consumption,,Thuringia,code16,95.696
2017,2008 = 100,b) Primary energy consumption,,Thuringia,code16,96.491
2018,2008 = 100,b) Primary energy consumption,,Thuringia,code16,95.144
2019,2008 = 100,b) Primary energy consumption,,Thuringia,code16,93.269
2020,2008 = 100,b) Primary energy consumption,,Thuringia,code16,91.506
2021,2008 = 100,b) Primary energy consumption,,Thuringia,code16,94.056
2022,2008 = 100,b) Primary energy consumption,,Thuringia,code16,92.336
2023,2008 = 100,b) Primary energy consumption,,Thuringia,code16,88.127
2024,2008 = 100,b) Primary energy consumption,…,Thuringia,code16,
2025,2008 = 100,b) Primary energy consumption,…,Thuringia,code16,
2030,2008 = 100,b) Primary energy consumption,…,Thuringia,code16,
