Year,Units,Zeitreihe,Gebiet,COMMENT_OBS_0,Geschlecht,COMMENT_OBS_1,Altersklasse,Bundesland,GeoCode,Value
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,,8.6
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,,7.6
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,,7.0
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,r,Männlich,,,,,6.0
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,Männlich,r,,,,8.9
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,,9.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,,11.6
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,,12.5
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,,11.4
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,Männlich,,,,,10.7
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,15.1
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,14.7
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,13.2
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,11.3
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,9.1
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,6.7
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,,under 16 years,,,11.2
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,11.5
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,14.9
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,15.5
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,13.0
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,under 16 years,,,12.3
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,9.1
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,7.7
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,7.3
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,6.1
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,6.4
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,4.8
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,,16 to 24 years,,,11.1
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,10.2
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,13.2
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,13.9
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,12.3
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,16 to 24 years,,,11.9
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,12.3
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,11.3
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,9.5
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,7.8
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,7.1
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,6.2
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,,25 to 49 years,,,9.9
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,9.8
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,13.0
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,14.1
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,12.4
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,25 to 49 years,,,12.1
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,14.8
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,13.7
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,10.3
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,9.5
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,9.0
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,8.1
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,,50 to 64 years,,,9.0
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,8.6
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,10.7
2023,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,11.8
2024,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,11.5
2025,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,50 to 64 years,,,10.3
2014,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,8.9
2015,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,7.3
2016,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,7.1
2017,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,6.3
2018,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,6.2
2019,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,5.8
2020,Prozent,a) Materielle und soziale Deprivation,Deutschland,|,,,65 years and older,,,5.5
2021,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,6.0
2022,Prozent,a) Materielle und soziale Deprivation,Deutschland,,,,65 years and older,,,7.8
