Year,Value,Units,Series
2024,77.0,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen
2023,,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen
2025,,Anzahl,Nachhaltigkeitszertifizierte Kultur- und Medieneinrichtungen
01.03.2023 - 30.08.2023,82.0,Anzahl,"Produktionen audiovisueller Medien, bei denen ökologische Standards eingehalten wurden"
01.09.2023 - 30.08.2024,234.0,Anzahl,"Produktionen audiovisueller Medien, bei denen ökologische Standards eingehalten wurden"
