Year,title,display,Value
2012,Access to drinking water and sanitation subsidised by Germany,Time series,10.6
2013,Access to drinking water and sanitation subsidised by Germany,Time series,11.6
2014,Access to drinking water and sanitation subsidised by Germany,Time series,31.0
2015,Access to drinking water and sanitation subsidised by Germany,Time series,10.8
2016,Access to drinking water and sanitation subsidised by Germany,Time series,14.3
2017,Access to drinking water and sanitation subsidised by Germany,Time series,28.6
2030,Access to drinking water and sanitation subsidised by Germany,Target,10.0
