Year,title,display,dimension,Value
2015,Responsible public procurement,Time series,Recycled paper bearing the Blue Angel label as a proportion of the total paper consumption of the federal administration,100.0
2016,Responsible public procurement,Time series,Recycled paper bearing the Blue Angel label as a proportion of the total paper consumption of the federal administration,136.8
2017,Responsible public procurement,Time series,Recycled paper bearing the Blue Angel label as a proportion of the total paper consumption of the federal administration,147.74
2020,Responsible public procurement,Target,Recycled paper bearing the Blue Angel label as a proportion of the total paper consumption of the federal administration,210.8
2015,Responsible public procurement,Time series,CO2 emissions per mileage of motor vehicles of the public sector,100.0
2016,Responsible public procurement,Time series,CO2 emissions per mileage of motor vehicles of the public sector,98.16
