Year,title,display,dimension,Value
1992,Species diversity and landscape quality,Time series,Sub-index inland waters,57.3
1993,Species diversity and landscape quality,Time series,Sub-index inland waters,63.7
1994,Species diversity and landscape quality,Time series,Sub-index inland waters,68.5
1995,Species diversity and landscape quality,Time series,Sub-index inland waters,67.5
1996,Species diversity and landscape quality,Time series,Sub-index inland waters,58.2
1997,Species diversity and landscape quality,Time series,Sub-index inland waters,58.6
1998,Species diversity and landscape quality,Time series,Sub-index inland waters,61.5
1999,Species diversity and landscape quality,Time series,Sub-index inland waters,67.2
2000,Species diversity and landscape quality,Time series,Sub-index inland waters,67.4
2001,Species diversity and landscape quality,Time series,Sub-index inland waters,73.7
2002,Species diversity and landscape quality,Time series,Sub-index inland waters,67.0
2003,Species diversity and landscape quality,Time series,Sub-index inland waters,66.7
2004,Species diversity and landscape quality,Time series,Sub-index inland waters,72.0
2005,Species diversity and landscape quality,Time series,Sub-index inland waters,69.0
2006,Species diversity and landscape quality,Time series,Sub-index inland waters,63.1
2007,Species diversity and landscape quality,Time series,Sub-index inland waters,72.5
2008,Species diversity and landscape quality,Time series,Sub-index inland waters,76.8
2009,Species diversity and landscape quality,Time series,Sub-index inland waters,70.6
2010,Species diversity and landscape quality,Time series,Sub-index inland waters,68.2
2011,Species diversity and landscape quality,Time series,Sub-index inland waters,69.5
2012,Species diversity and landscape quality,Time series,Sub-index inland waters,72.6
2013,Species diversity and landscape quality,Time series,Sub-index inland waters,73.4
2014,Species diversity and landscape quality,Time series,Sub-index inland waters,73.6
2015,Species diversity and landscape quality,Time series,Sub-index inland waters,74.6
1990,Species diversity and landscape quality,Time series,Sub-index coasts/seas,79.7
1991,Species diversity and landscape quality,Time series,Sub-index coasts/seas,72.3
1992,Species diversity and landscape quality,Time series,Sub-index coasts/seas,79.0
1993,Species diversity and landscape quality,Time series,Sub-index coasts/seas,79.4
1994,Species diversity and landscape quality,Time series,Sub-index coasts/seas,85.8
