Year,Units,display,Value
2012,percentage (%),a) time series,3.60
2013,percentage (%),a) time series,4.40
2014,percentage (%),a) time series,5.90
2015,percentage (%),a) time series,7.60
2016,percentage (%),a) time series,8.60
2017,percentage (%),a) time series,8.30
2018,percentage (%),a) time series,7.40
2019,percentage (%),a) time series,7.90
2030,percentage (%),b) target (min),34.00
