Year,Units,display,title,Value
2006,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",8.0
2007,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",6.0
2008,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",8.0
2009,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",2.0
2010,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",3.0
2011,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",11.0
2012,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2013,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",14.0
2014,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2015,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",26.0
2016,number,a) time series,"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",26.0
2006,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2007,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2008,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2009,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2010,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2011,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2012,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2013,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2014,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2015,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
2016,number,b) target (min),"number of projects to secure, register and destroy small arms and light weapons carried out by germany in affected regions of the world",15.0
