Year,title,display,Value
2012,"Market share of products certified by independently verified 
sustainability labelling schemes",Time series,3.6
2013,"Market share of products certified by independently verified 
sustainability labelling schemes",Time series,4.4
2014,"Market share of products certified by independently verified 
sustainability labelling schemes",Time series,5.9
2015,"Market share of products certified by independently verified 
sustainability labelling schemes",Time series,7.5
2016,"Market share of products certified by independently verified 
sustainability labelling schemes",Time series,8.6
2030,"Market share of products certified by independently verified 
sustainability labelling schemes",Target,34.0
