Year,Units,title,Value
2012,eur,total official development assistance regarding food security,613220731.0
2014,eur,total official development assistance regarding food security,760657517.0
2016,eur,total official development assistance regarding food security,1471659019.0
2016,eur,official development assistance to support good governance for food security,476087470.0
