Year,display,title,Value
2015,time series,women on supervisory boards,21.3
2016,time series,women on supervisory boards,23.76
2017,time series,women on supervisory boards,28.1
2018,time series,women on supervisory boards,30.9
2030,target,women on supervisory boards,30.0
