Year,Units,title,Value
2015,mio. eur,pandemic prevention and reaction,138
2016,mio. eur,pandemic prevention and reaction,151
2017,mio. eur,pandemic prevention and reaction,221
2018,mio. eur,pandemic prevention and reaction,261
2019,mio. eur,pandemic prevention and reaction,273
2020,mio. eur,pandemic prevention and reaction,353
2020,mio. eur,containment of the covid-19 pandemic,635
