Year,Units,display,title,Value
2012,mio.,a) time series,access to drinking water and sanitation subsidised by germany,10.6
2013,mio.,a) time series,access to drinking water and sanitation subsidised by germany,11.6
2014,mio.,a) time series,access to drinking water and sanitation subsidised by germany,31.0
2015,mio.,a) time series,access to drinking water and sanitation subsidised by germany,10.8
2016,mio.,a) time series,access to drinking water and sanitation subsidised by germany,14.3
2017,mio.,a) time series,access to drinking water and sanitation subsidised by germany,28.6
2030,mio.,b) target (min),access to drinking water and sanitation subsidised by germany,10.0
