Year,title,Value
2014,Partnership for Sustainable Textiles,59.0
2015,Partnership for Sustainable Textiles,172.0
2016,Partnership for Sustainable Textiles,188.0
2017,Partnership for Sustainable Textiles,147.0
2018,Partnership for Sustainable Textiles,130.0
